Price,Address,homeType,beds,baths,sq_feet,Status,Link,Unit Count
"$2,395/mo",11241-Modern-Meadow-Loop-Colorado-Springs-CO-80921,SINGLE_FAMILY,3,3.5,1996,FOR_RENT,www.zillow.com//homedetails/11241-Modern-Meadow-Loop-Colorado-Springs-CO-80921/294978528_zpid/,--
"$3,295/mo",12513-Timberglen-Ter-Colorado-Springs-CO-80921,SINGLE_FAMILY,4,3,3652,FOR_RENT,www.zillow.com//homedetails/12513-Timberglen-Ter-Colorado-Springs-CO-80921/68971233_zpid/,--
"$2,895/mo",8018-Hollygrape-Ln-Colorado-Springs-CO-80927,SINGLE_FAMILY,4,3,3250,FOR_RENT,www.zillow.com//homedetails/8018-Hollygrape-Ln-Colorado-Springs-CO-80927/109683795_zpid/,--
$995/mo,129-Bonfoy-Ave-201-Colorado-Springs-CO-80909,APARTMENT,0,1,363,FOR_RENT,www.zillow.com//homedetails/129-Bonfoy-Ave-201-Colorado-Springs-CO-80909/2077471539_zpid/,--
"$2,075/mo",226-S-Institute-St-Colorado-Springs-CO-80903,SINGLE_FAMILY,3,2,1053,FOR_RENT,www.zillow.com//homedetails/226-S-Institute-St-Colorado-Springs-CO-80903/13617094_zpid/,--
"$1,850/mo",2074-Phillips-Aly-Colorado-Springs-CO-80910,SINGLE_FAMILY,3,3,1713,FOR_RENT,www.zillow.com//homedetails/2074-Phillips-Aly-Colorado-Springs-CO-80910/88909050_zpid/,--
"$2,800/mo",1745-Old-Stage-Rd-Colorado-Springs-CO-80906,SINGLE_FAMILY,5,3,2800,FOR_RENT,www.zillow.com//homedetails/1745-Old-Stage-Rd-Colorado-Springs-CO-80906/13673366_zpid/,--
$850/mo,506-1-2-W-Cheyenne-Rd-APT-C-Colorado-Springs-CO-80906,APARTMENT,1,1,850,FOR_RENT,www.zillow.com//homedetails/506-1-2-W-Cheyenne-Rd-APT-C-Colorado-Springs-CO-80906/2102908847_zpid/,--
"$1,200/mo",1322-N-Academy-Blvd-UNIT-205-Colorado-Springs-CO-80909,APARTMENT,0,--,,FOR_RENT,www.zillow.com//homedetails/1322-N-Academy-Blvd-UNIT-205-Colorado-Springs-CO-80909/2070241935_zpid/,--
"$2,856/mo",10514-Silver-Stirrup-Dr-Colorado-Springs-CO-80925,SINGLE_FAMILY,6,4,3120,FOR_RENT,www.zillow.com//homedetails/10514-Silver-Stirrup-Dr-Colorado-Springs-CO-80925/109685363_zpid/,--
"$4,650/mo",3150-Rockbrook-Ln-Colorado-Springs-CO-80904,SINGLE_FAMILY,3,3,2662,FOR_RENT,www.zillow.com//homedetails/3150-Rockbrook-Ln-Colorado-Springs-CO-80904/13659054_zpid/,--
"$1,050/mo",1717-Metzler-Pl-APT-21-Colorado-Springs-CO-80905,APARTMENT,1,1,600,FOR_RENT,www.zillow.com//homedetails/1717-Metzler-Pl-APT-21-Colorado-Springs-CO-80905/2081894651_zpid/,--
"$6,000/mo",815-Pollux-Dr-Colorado-Springs-CO-80906,SINGLE_FAMILY,5,4.5,5178,FOR_RENT,www.zillow.com//homedetails/815-Pollux-Dr-Colorado-Springs-CO-80906/13669036_zpid/,--
"$2,355/mo",5296-Pine-Haven-Dr-Colorado-Springs-CO-80923,SINGLE_FAMILY,4,3,2052,FOR_RENT,www.zillow.com//homedetails/5296-Pine-Haven-Dr-Colorado-Springs-CO-80923/13572553_zpid/,--
"$1,750/mo",3408-Kingfisher-Nest-Grv-Colorado-Springs-CO-80916,TOWNHOUSE,3,3,1870,FOR_RENT,www.zillow.com//homedetails/3408-Kingfisher-Nest-Grv-Colorado-Springs-CO-80916/109685273_zpid/,--
"$2,695/mo",1319-N-Weber-St-Colorado-Springs-CO-80903,SINGLE_FAMILY,4,2.5,3548,FOR_RENT,www.zillow.com//homedetails/1319-N-Weber-St-Colorado-Springs-CO-80903/2086592011_zpid/,--
"$1,309+/mo","22 N Spruce St, Colorado Springs, CO",--,0,1,477,FOR_RENT,www.zillow.com//b/22-spruce-apartments-colorado-springs-co-BL5zZZ/,7
"$1,395/mo",506-N-Cascade-Ave-APT-301-Colorado-Springs-CO-80903,APARTMENT,2,1,769,FOR_RENT,www.zillow.com//homedetails/506-N-Cascade-Ave-APT-301-Colorado-Springs-CO-80903/2087382005_zpid/,--
"$1,045+/mo","1921 E Van Buren St, Colorado Springs, CO",--,1,1,605,FOR_RENT,www.zillow.com//b/the-centre-colorado-springs-co-5XhvR6/,4
$740+/mo,"3210 N Chestnut St, Colorado Springs, CO",--,0,1,375,FOR_RENT,www.zillow.com//b/fillmore-ridge-colorado-springs-co-5XhvXr/,6
"$1,575+/mo","5225 Zachary Grv, Colorado Springs, CO",--,1,1,705,FOR_RENT,www.zillow.com//b/grand-centennial-apartments-colorado-springs-co-5XhvZM/,11
"$1,360+/mo","4675 Templeton Park Cir, Colorado Springs, CO",--,1,1,720,FOR_RENT,www.zillow.com//b/retreat-at-austin-bluffs-colorado-springs-co-5Xhvkr/,5
"$1,254+/mo","1350 Cascade Creek Vw, Colorado Springs, CO",--,1,1,785,FOR_RENT,www.zillow.com//b/creekside-at-palmer-park-colorado-springs-co-5XhvbH/,6
"$1,280+/mo","2530 Paragon Dr, Colorado Springs, CO",--,0,1,426,FOR_RENT,www.zillow.com//b/windtree-colorado-springs-co-5XhvwB/,11
